IDD	0	-60	2
IDD	0	-31	2
IDD	0	-30	1
IDD	0	-29	3
IDD	0	-26	2
IDD	0	-24	1
IDD	0	-22	2
IDD	0	-20	4
IDD	0	-19	2
IDD	0	-17	3
IDD	0	-16	4
IDD	0	-15	2
IDD	0	-14	3
IDD	0	-13	3
IDD	0	-12	6
IDD	0	-11	8
IDD	0	-10	8
IDD	0	-9	6
IDD	0	-8	19
IDD	0	-7	1
IDD	0	-6	11
IDD	0	-5	20
IDD	0	-4	49
IDD	0	-3	33
IDD	0	-2	65
IDD	0	-1	115
IDD	0	1	107
IDD	0	2	92
IDD	0	3	35
IDD	0	4	72
IDD	0	5	14
IDD	0	6	15
IDD	0	7	7
IDD	0	8	13
IDD	0	9	4
IDD	0	10	15
IDD	0	11	5
IDD	0	12	17
IDD	0	13	2
IDD	0	14	7
IDD	0	15	1
IDD	0	16	9
IDD	0	17	2
IDD	0	18	1
IDD	0	20	3
IDD	0	22	1
IDD	0	24	5
IDD	0	25	1
IDD	0	26	2
IDD	0	30	1
IDD	0	50	1
